,Crop,Years,Million Acres Harvested Acreage,Million Bushels Production,PYPA,PPYPA,Yield per harvested acre,Predicted Yield per Acre
134,Barley,2000,5.2,317.80400000000003,59.5,60.1,61.1,60.259337228918845
135,Barley,2001,4.273,248.329,61.1,59.5,58.1,60.73272510113672
136,Barley,2002,4.123,226.90599999999998,58.1,61.1,55.0,60.06864345100046
137,Barley,2003,4.727,278.283,55.0,58.1,58.9,57.00609221528121
138,Barley,2004,4.021,279.743,58.9,55.0,69.6,57.33728202771639
139,Barley,2005,3.2689999999999997,211.896,69.6,58.9,64.8,64.61465407496598
140,Barley,2006,2.951,180.165,64.8,69.6,61.1,67.72215262949521
141,Barley,2007,3.502,210.11,61.1,64.8,60.0,63.440277536176794
142,Barley,2008,3.775,239.072,60.0,61.1,63.3,61.00378910467327
143,Barley,2009,3.114,226.60299999999998,63.3,60.0,72.8,62.063765849081044
144,Barley,2010,2.465,180.24099999999999,72.8,63.3,73.1,68.44185723722678
145,Barley,2011,2.241,154.78799999999998,73.1,72.8,69.1,73.4554326725572
146,Barley,2012,3.2739999999999996,218.99,69.1,73.1,66.9,71.64358188422385
147,Barley,2013,3.04,216.745,66.9,69.1,71.3,68.50452288869558
148,Barley,2014,2.497,181.542,71.3,66.9,72.7,69.545632476574
149,Barley,2015,3.158,218.187,72.7,71.3,69.1,72.49885247227908
150,Barley,2016,2.565,199.91400000000002,69.1,72.7,77.9,71.43116695715484
151,Barley,2017,1.962,143.25799999999998,77.9,69.1,73.0,73.92837915067444
152,Barley,2018,1.9780000000000002,153.082,73.0,77.9,77.3923,76.0164408442236
153,Barley,2019,2.331,172.153,77.3923,73.0,73.8537,75.67972091318299
275,Corn,2000,72.44,9915.051,133.8,134.4,136.9,135.75143850864296
276,Corn,2001,68.768,9502.58,136.9,133.8,138.2,136.93711041561951
277,Corn,2002,69.33,8966.787,138.2,136.9,129.3,139.17377174240727
278,Corn,2003,70.944,10087.292,129.3,138.2,142.2,135.45928942417132
279,Corn,2004,73.631,11805.581,142.2,129.3,160.3,137.301297138784
280,Corn,2005,75.117,11112.187,160.3,142.2,147.9,152.8701247991563
281,Corn,2006,70.638,10531.123,147.9,160.3,149.1,155.97030104302436
282,Corn,2007,86.52,13037.875,149.1,147.9,150.7,150.3766924350975
283,Corn,2008,78.57,12043.203000000001,150.7,149.1,153.3,151.69849450766196
284,Corn,2009,79.49,13067.156,153.3,150.7,164.4,153.8126796504949
285,Corn,2010,81.446,12425.33,164.4,153.3,152.6,160.65007901366346
286,Corn,2011,83.87899999999999,12313.956,152.6,164.4,146.8,160.53271364418944
287,Corn,2012,87.365,10755.111,146.8,152.6,123.1,151.65736224523638
288,Corn,2013,87.461,13830.704,123.1,146.8,158.1,136.97613345698858
289,Corn,2014,83.146,14217.292,158.1,123.1,171.0,142.08091807719413
290,Corn,2015,80.753,13601.964,171.0,158.1,168.4,166.36337588955982
291,Corn,2016,86.74799999999999,15148.038,168.4,171.0,174.6,171.75158771676993
292,Corn,2017,82.73299999999999,14609.407,174.6,168.4,176.6,173.44060970069646
293,Corn,2018,81.74,14420.101,176.6,174.6,176.4143,177.59519475219045
294,Corn,2019,82.01700000000001,13799.151000000002,176.4143,176.6,168.2474,178.53113178636752
429,Oats,2000,2.325,149.165,59.6,60.2,64.2,60.313649566684894
430,Oats,2001,1.911,117.602,64.2,59.6,61.5,62.274761154153516
431,Oats,2002,2.0580000000000003,116.00200000000001,61.5,64.2,56.4,63.299205040615405
432,Oats,2003,2.22,144.38299999999998,56.4,61.5,65.0,59.39750275005205
433,Oats,2004,1.787,115.695,65.0,56.4,64.7,61.029097568613615
434,Oats,2005,1.8230000000000002,114.859,64.7,65.0,63.0,65.2877925895312
435,Oats,2006,1.564,93.522,63.0,64.7,59.8,64.29136583308001
436,Oats,2007,1.504,90.43,59.8,63.0,60.1,61.83852421322895
437,Oats,2008,1.4140000000000001,90.051,60.1,59.8,63.7,60.34616389648079
438,Oats,2009,1.34,91.04299999999999,63.7,60.1,67.9,62.277894116814
439,Oats,2010,1.2670000000000001,81.85600000000001,67.9,63.7,64.6,66.19698523627734
440,Oats,2011,0.875,50.126000000000005,64.6,67.9,57.3,66.71433739015579
441,Oats,2012,1.005,61.486000000000004,57.3,64.6,61.2,61.41782527990714
442,Oats,2013,1.0090000000000001,64.642,61.2,57.3,64.1,59.604449248194896
443,Oats,2014,1.035,70.232,64.1,61.2,67.9,63.03595720911586
444,Oats,2015,1.275,89.455,67.9,64.1,70.2,66.40202516623505
445,Oats,2016,0.9790000000000001,64.628,70.2,67.9,66.0,69.48244120565067
446,Oats,2017,0.804,49.585,66.0,70.2,61.7,68.58383848395837
447,Oats,2018,0.865,56.13,61.7,66.0,64.8902,64.30777658268862
448,Oats,2019,0.909,60.385,64.8902,61.7,66.4301,63.68127113704477
520,Sorghum,2000,7.726,470.526,69.7,67.3,60.9,69.02996183167225
521,Sorghum,2001,8.579,514.04,60.9,69.7,59.9,65.9205125147681
522,Sorghum,2002,7.125,360.713,59.9,60.9,50.6,60.902079757173816
523,Sorghum,2003,7.797999999999999,411.219,50.6,59.9,52.7,55.80155828505104
524,Sorghum,2004,6.517,453.606,52.7,50.6,69.6,52.06048839252716
525,Sorghum,2005,5.736000000000001,392.73900000000003,69.6,52.7,68.5,61.4787293856613
526,Sorghum,2006,4.937,276.824,68.5,69.6,56.1,69.58618465694677
527,Sorghum,2007,6.792000000000001,497.445,56.1,68.5,73.2,62.91512219521808
528,Sorghum,2008,7.312,475.855,73.2,56.1,65.1,65.0162259039838
529,Sorghum,2009,5.502000000000001,381.605,65.1,73.2,69.4,69.75676056853503
530,Sorghum,2010,4.806,345.464,69.4,65.1,71.9,67.72375207884586
531,Sorghum,2011,3.945,212.993,71.9,69.4,54.0,71.15324041309454
532,Sorghum,2012,4.995,247.74200000000002,54.0,71.9,49.6,63.60071190624458
533,Sorghum,2013,6.585,392.33099999999996,49.6,54.0,59.6,52.27159030420273
534,Sorghum,2014,6.401,432.575,59.6,49.6,67.6,54.956229776312604
535,Sorghum,2015,7.851,596.751,67.6,59.6,76.0,64.0482498256114
536,Sorghum,2016,6.162999999999999,480.26099999999997,76.0,67.6,77.9,72.28012070405495
537,Sorghum,2017,5.044,361.871,77.9,76.0,71.7,77.51122596774194
538,Sorghum,2018,5.061,364.986,71.7,77.9,72.1174,75.42146971481823
539,Sorghum,2019,4.735,351.58,72.1174,71.7,74.2513,72.44746666478414
